Timestamp,Mean_ACC_X,Std_ACC_X,Min_ACC_X,Max_ACC_X,Range_ACC_X,Median_ACC_X,Skewness_ACC_X,Kurtosis_ACC_X,Energy_ACC_X,Entropy_ACC_X,Mean_ACC_Y,Std_ACC_Y,Min_ACC_Y,Max_ACC_Y,Range_ACC_Y,Median_ACC_Y,Skewness_ACC_Y,Kurtosis_ACC_Y,Energy_ACC_Y,Entropy_ACC_Y,Mean_ACC_Z,Std_ACC_Z,Min_ACC_Z,Max_ACC_Z,Range_ACC_Z,Median_ACC_Z,Skewness_ACC_Z,Kurtosis_ACC_Z,Energy_ACC_Z,Entropy_ACC_Z,Activity
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",2.4245,0.585331426448195,1.24,3.82,2.58,2.4,0.38420630679979134,-0.5355377327008743,621.7387,6.6025807240557475,2.4245,0.585331426448195,1.24,3.82,2.58,2.4,0.38420630679979134,-0.5355377327008743,621.7387,6.6025807240557475,2.4245,0.585331426448195,1.24,3.82,2.58,2.4,0.38420630679979134,-0.5355377327008743,621.7387,6.6025807240557475,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",295.81,1.0889249633273994,294.0,301.0,7.0,296.0,1.15427091999965,4.153216625198658,8750473.0,6.643846525854045,295.81,1.0889249633273994,294.0,301.0,7.0,296.0,1.15427091999965,4.153216625198658,8750473.0,6.643846525854045,295.81,1.0889249633273994,294.0,301.0,7.0,296.0,1.15427091999965,4.153216625198658,8750473.0,6.643846525854045,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",238.32,0.633731931983991,237.0,242.0,5.0,238.0,2.290246424470053,10.489470259508652,5679682.0,6.643851149994779,238.32,0.633731931983991,237.0,242.0,5.0,238.0,2.290246424470053,10.489470259508652,5679682.0,6.643851149994779,238.32,0.633731931983991,237.0,242.0,5.0,238.0,2.290246424470053,10.489470259508652,5679682.0,6.643851149994779,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",210.68,0.633731931983991,207.0,212.0,5.0,211.0,-2.290246424470053,10.489470259508652,4438646.0,6.643849713444369,210.68,0.633731931983991,207.0,212.0,5.0,211.0,-2.290246424470053,10.489470259508652,4438646.0,6.643849713444369,210.68,0.633731931983991,207.0,212.0,5.0,211.0,-2.290246424470053,10.489470259508652,4438646.0,6.643849713444369,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",2030.96,7.112260008200093,2010.0,2051.0,41.0,2031.0,0.21547078518010185,0.5229917231255738,412484860.0,6.64384743412851,2030.96,7.112260008200093,2010.0,2051.0,41.0,2031.0,0.21547078518010185,0.5229917231255738,412484860.0,6.64384743412851,2030.96,7.112260008200093,2010.0,2051.0,41.0,2031.0,0.21547078518010185,0.5229917231255738,412484860.0,6.64384743412851,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",88.73,7.547633250017365,62.0,106.0,44.0,89.0,-0.44168303133269926,0.8472543444464562,792941.0,6.638599819490701,88.73,7.547633250017365,62.0,106.0,44.0,89.0,-0.44168303133269926,0.8472543444464562,792941.0,6.638599819490701,88.73,7.547633250017365,62.0,106.0,44.0,89.0,-0.44168303133269926,0.8472543444464562,792941.0,6.638599819490701,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",-199.67,9.087737325482601,-217.0,-175.0,42.0,-200.0,0.42648500802652267,-0.01966904749201337,3994987.0,6.64236594582584,-199.67,9.087737325482601,-217.0,-175.0,42.0,-200.0,0.42648500802652267,-0.01966904749201337,3994987.0,6.64236594582584,-199.67,9.087737325482601,-217.0,-175.0,42.0,-200.0,0.42648500802652267,-0.01966904749201337,3994987.0,6.64236594582584,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",-4.03,22.449249160691053,-46.0,40.0,86.0,-4.5,-6.617311849394654e-05,-0.503497205222518,51517.0,10.887370021308383,-4.03,22.449249160691053,-46.0,40.0,86.0,-4.5,-6.617311849394654e-05,-0.503497205222518,51517.0,10.887370021308383,-4.03,22.449249160691053,-46.0,40.0,86.0,-4.5,-6.617311849394654e-05,-0.503497205222518,51517.0,10.887370021308383,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",0.84,11.60435306688874,-20.0,23.0,43.0,-2.0,0.18014470183801468,-1.0570794660200837,13402.0,16.048438913168535,0.84,11.60435306688874,-20.0,23.0,43.0,-2.0,0.18014470183801468,-1.0570794660200837,13402.0,16.048438913168535,0.84,11.60435306688874,-20.0,23.0,43.0,-2.0,0.18014470183801468,-1.0570794660200837,13402.0,16.048438913168535,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",0.3,25.263260344467085,-39.0,40.0,79.0,1.5,0.02130159009851336,-1.5144072016931656,63194.0,7.2438388678190435,0.3,25.263260344467085,-39.0,40.0,79.0,1.5,0.02130159009851336,-1.5144072016931656,63194.0,7.2438388678190435,0.3,25.263260344467085,-39.0,40.0,79.0,1.5,0.02130159009851336,-1.5144072016931656,63194.0,7.2438388678190435,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",-83.8563,0.25747670287863383,-84.58,-83.36,1.2199999999999989,-83.86,-0.43779479914673447,0.14915716757291175,703194.4680999999,6.643849460077026,-83.8563,0.25747670287863383,-84.58,-83.36,1.2199999999999989,-83.86,-0.43779479914673447,0.14915716757291175,703194.4680999999,6.643849460077026,-83.8563,0.25747670287863383,-84.58,-83.36,1.2199999999999989,-83.86,-0.43779479914673447,0.14915716757291175,703194.4680999999,6.643849460077026,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",2.4895,0.21043185513739518,1.74,2.98,1.24,2.505,-0.4436128024045503,0.9144109611116131,624.1449000000001,6.638665781680218,2.4895,0.21043185513739518,1.74,2.98,1.24,2.505,-0.4436128024045503,0.9144109611116131,624.1449000000001,6.638665781680218,2.4895,0.21043185513739518,1.74,2.98,1.24,2.505,-0.4436128024045503,0.9144109611116131,624.1449000000001,6.638665781680218,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",2.5012,0.2115038982853483,1.75,3.0,1.25,2.5149999999999997,-0.42862869888979926,0.9041345434437855,630.0287999999999,6.638663883764633,2.5012,0.2115038982853483,1.75,3.0,1.25,2.5149999999999997,-0.42862869888979926,0.9041345434437855,630.0287999999999,6.638663883764633,2.5012,0.2115038982853483,1.75,3.0,1.25,2.5149999999999997,-0.42862869888979926,0.9041345434437855,630.0287999999999,6.638663883764633,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",295.89,0.34509550720186055,295.0,297.0,2.0,296.0,-1.7496038947904435,3.7626268703616117,8755101.0,6.643855217726518,295.89,0.34509550720186055,295.0,297.0,2.0,296.0,-1.7496038947904435,3.7626268703616117,8755101.0,6.643855217726518,295.89,0.34509550720186055,295.0,297.0,2.0,296.0,-1.7496038947904435,3.7626268703616117,8755101.0,6.643855217726518,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",238.14,0.3487350880197775,238.0,239.0,1.0,238.0,2.1067391919834475,2.487710157529801,5671078.0,6.643854659852905,238.14,0.3487350880197775,238.0,239.0,1.0,238.0,2.1067391919834475,2.487710157529801,5671078.0,6.643854659852905,238.14,0.3487350880197775,238.0,239.0,1.0,238.0,2.1067391919834475,2.487710157529801,5671078.0,6.643854659852905,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",210.86,0.3487350880197775,210.0,211.0,1.0,211.0,-2.1067391919834475,2.487710157529801,4446206.0,6.643854234185216,210.86,0.3487350880197775,210.0,211.0,1.0,211.0,-2.1067391919834475,2.487710157529801,4446206.0,6.643854234185216,210.86,0.3487350880197775,210.0,211.0,1.0,211.0,-2.1067391919834475,2.487710157529801,4446206.0,6.643854234185216,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",2035.94,19.38802087721574,1977.0,2081.0,104.0,2037.5,-0.7266301170991456,0.9091493664414636,414542382.0,6.643791278190796,2035.94,19.38802087721574,1977.0,2081.0,104.0,2037.5,-0.7266301170991456,0.9091493664414636,414542382.0,6.643791278190796,2035.94,19.38802087721574,1977.0,2081.0,104.0,2037.5,-0.7266301170991456,0.9091493664414636,414542382.0,6.643791278190796,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",84.21,18.82685326974224,29.0,123.0,94.0,86.0,-0.7638464428123933,0.7378814677610728,744223.0,6.604655737196232,84.21,18.82685326974224,29.0,123.0,94.0,86.0,-0.7638464428123933,0.7378814677610728,744223.0,6.604655737196232,84.21,18.82685326974224,29.0,123.0,94.0,86.0,-0.7638464428123933,0.7378814677610728,744223.0,6.604655737196232,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",-40.07,168.20731886934087,-207.0,297.0,504.0,-99.5,0.802036461741486,-0.8626021324001747,2961637.0,11.379820847808645,-40.07,168.20731886934087,-207.0,297.0,504.0,-99.5,0.802036461741486,-0.8626021324001747,2961637.0,11.379820847808645,-40.07,168.20731886934087,-207.0,297.0,504.0,-99.5,0.802036461741486,-0.8626021324001747,2961637.0,11.379820847808645,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",-4.27,22.162783893251987,-46.0,41.0,87.0,-4.0,0.0019120138255246464,-0.3913494667587263,50451.0,10.50580986235957,-4.27,22.162783893251987,-46.0,41.0,87.0,-4.0,0.0019120138255246464,-0.3913494667587263,50451.0,10.50580986235957,-4.27,22.162783893251987,-46.0,41.0,87.0,-4.0,0.0019120138255246464,-0.3913494667587263,50451.0,10.50580986235957,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",0.73,11.606211329031597,-21.0,22.0,43.0,0.0,0.06915076344256554,-0.8841055084955425,13389.0,16.965262406846907,0.73,11.606211329031597,-21.0,22.0,43.0,0.0,0.06915076344256554,-0.8841055084955425,13389.0,16.965262406846907,0.73,11.606211329031597,-21.0,22.0,43.0,0.0,0.06915076344256554,-0.8841055084955425,13389.0,16.965262406846907,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",-0.19,25.42634242058596,-37.0,40.0,77.0,-2.0,0.05285196541696784,-1.591254147992209,64007.0,-27.229432729749366,-0.19,25.42634242058596,-37.0,40.0,77.0,-2.0,0.05285196541696784,-1.591254147992209,64007.0,-27.229432729749366,-0.19,25.42634242058596,-37.0,40.0,77.0,-2.0,0.05285196541696784,-1.591254147992209,64007.0,-27.229432729749366,"0    1
Name: ACTIVITY_CODE, dtype: int32"
